job,marital,education,default,housing,day,month,loan
admin.,married,secondary,no,yes,5,may,no
admin.,married,secondary,no,no,5,may,no
technician,married,secondary,no,yes,5,may,no
services,married,secondary,no,yes,5,may,no
admin.,married,tertiary,no,no,5,may,no
management,single,tertiary,no,yes,5,may,yes
management,married,tertiary,no,yes,6,may,yes
retired,divorced,secondary,no,yes,6,may,no
technician,married,secondary,no,yes,6,may,no
services,single,secondary,no,yes,6,may,no
admin.,single,secondary,no,yes,7,may,no
blue-collar,married,secondary,no,yes,7,may,no
management,married,tertiary,no,yes,7,may,yes
blue-collar,single,tertiary,no,yes,7,may,no
technician,single,tertiary,no,yes,8,may,no
management,divorced,tertiary,no,yes,8,may,no
blue-collar,single,primary,no,yes,8,may,no
services,married,secondary,no,yes,8,may,no
admin.,married,secondary,no,yes,8,may,no
admin.,divorced,secondary,no,yes,8,may,yes
